# BUSCO version is: 5.4.7 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2024-01-08, number of genomes: 16, number of BUSCOs: 5286)
Busco_id	Status	Sequence	Gene_Start	Gene_End	Strand	Score	Length	OrthoDB_url	Description
54at7088	Complete	Hmel217001o	1030551	1046556	+	5189.7	2447	https://v10-1.orthodb.org/?query=54at7088	Tox-GHH domain
56at7088	Complete	Hmel206001o	4809857	4853482	+	5104.4	2732	https://v10-1.orthodb.org/?query=56at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
57at7088	Complete	Hmel201001o	11198219	11217312	+	4290.2	2219	https://v10-1.orthodb.org/?query=57at7088	EGF-like calcium-binding domain
59at7088	Complete	Hmel214004o	4077879	4048443	-	4765.0	3682	https://v10-1.orthodb.org/?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	Hmel217001o	11190872	11228196	+	5823.2	3448	https://v10-1.orthodb.org/?query=60at7088	Cadherin-like
63at7088	Complete	Hmel218003o	381944	427385	+	4710.7	2815	https://v10-1.orthodb.org/?query=63at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
64at7088	Complete	Hmel220003o	5554493	5538695	-	4065.5	1989	https://v10-1.orthodb.org/?query=64at7088	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
65at7088	Complete	Hmel213001o	10857573	11131537	+	4897.9	2599	https://v10-1.orthodb.org/?query=65at7088	Domain of unknown function DUF1088
66at7088	Complete	Hmel212001o	13877952	13898071	+	3912.4	1809	https://v10-1.orthodb.org/?query=66at7088	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
68at7088	Complete	Hmel221001o	1018149	1118446	+	5117.2	2559	https://v10-1.orthodb.org/?query=68at7088	Cell morphogenesis central region
69at7088	Complete	Hmel205001o	7092310	7103261	+	4252.6	2132	https://v10-1.orthodb.org/?query=69at7088	FKBP12-rapamycin binding domain
70at7088	Complete	Hmel217001o	2496202	2507430	+	4468.4	2945	https://v10-1.orthodb.org/?query=70at7088	EGF-like calcium-binding domain
72at7088	Complete	Hmel211001o	4854126	4903982	+	4831.5	2500	https://v10-1.orthodb.org/?query=72at7088	Filamin/ABP280 repeat-like
74at7088	Complete	Hmel207001o	11005057	10991981	-	4890.4	2383	https://v10-1.orthodb.org/?query=74at7088	Zinc finger C2H2-type
78at7088	Complete	Hmel208001o	2086033	2127400	+	5585.1	3286	https://v10-1.orthodb.org/?query=78at7088	Baculoviral IAP repeat-containing protein 6
83at7088	Complete	Hmel218003o	15103880	15140097	+	4274.8	2234	https://v10-1.orthodb.org/?query=83at7088	RyR/IP3R Homology associated domain
84at7088	Complete	Hmel208001o	3789483	3760752	-	4798.9	2409	https://v10-1.orthodb.org/?query=84at7088	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
86at7088	Complete	Hmel215003o	5678879	5660624	-	3521.2	2049	https://v10-1.orthodb.org/?query=86at7088	UME domain
88at7088	Complete	Hmel201001o	11989130	12008212	+	5775.9	2991	https://v10-1.orthodb.org/?query=88at7088	Chromo domain
96at7088	Complete	Hmel221001o	5672452	5690727	+	4139.3	2028	https://v10-1.orthodb.org/?query=96at7088	Laminin G domain
101at7088	Complete	Hmel221001o	5456466	5520114	+	3174.2	1799	https://v10-1.orthodb.org/?query=101at7088	PHR
103at7088	Complete	Hmel204001o	6493911	6538065	+	3999.0	2149	https://v10-1.orthodb.org/?query=103at7088	Calcium-dependent secretion activator domain
105at7088	Complete	Hmel218003o	14191565	14213240	+	6480.9	4097	https://v10-1.orthodb.org/?query=105at7088	EGF-like calcium-binding domain
106at7088	Complete	Hmel215003o	6971519	6958569	-	4496.4	2416	https://v10-1.orthodb.org/?query=106at7088	small subunit processome component 20 homolog
112at7088	Complete	Hmel211001o	4561839	4538608	-	3964.9	2076	https://v10-1.orthodb.org/?query=112at7088	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
113at7088	Complete	Hmel221001o	5452289	5386594	-	4107.5	2242	https://v10-1.orthodb.org/?query=113at7088	Dbl homology (DH) domain
116at7088	Complete	Hmel201001o	13778090	13787291	+	3407.7	1732	https://v10-1.orthodb.org/?query=116at7088	FERM central domain
122at7088	Complete	Hmel202001o	3672626	3713564	+	2953.3	1592	https://v10-1.orthodb.org/?query=122at7088	Tetratricopeptide repeat
123at7088	Complete	Hmel208001o	6777074	6754923	-	3660.8	1828	https://v10-1.orthodb.org/?query=123at7088	DNA-directed DNA polymerase, family B, exonuclease domain
126at7088	Complete	Hmel202001o	6273446	6300839	+	3601.8	1805	https://v10-1.orthodb.org/?query=126at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
127at7088	Complete	Hmel204001o	3021410	3073628	+	4388.0	2666	https://v10-1.orthodb.org/?query=127at7088	Bromo adjacent homology (BAH) domain
128at7088	Complete	Hmel220003o	10520749	10558754	+	5328.6	3327	https://v10-1.orthodb.org/?query=128at7088	Vacuolar protein sorting-associated protein 13, N-terminal domain
133at7088	Complete	Hmel215003o	7567744	7538434	-	1977.9	1739	https://v10-1.orthodb.org/?query=133at7088	Glycoside hydrolase family 18, catalytic domain
136at7088	Complete	Hmel201001o	8823010	8788889	-	3835.2	2052	https://v10-1.orthodb.org/?query=136at7088	Piezo domain
137at7088	Complete	Hmel218003o	4762430	4782167	+	3392.9	1910	https://v10-1.orthodb.org/?query=137at7088	Protein kinase domain
138at7088	Complete	Hmel215003o	2980335	2989604	+	2737.4	1938	https://v10-1.orthodb.org/?query=138at7088	Calponin homology domain
139at7088	Complete	Hmel216002o	9570301	9544509	-	4008.4	2283	https://v10-1.orthodb.org/?query=139at7088	Pecanex, C-terminal
140at7088	Complete	Hmel207001o	7255946	7378560	+	3669.8	2124	https://v10-1.orthodb.org/?query=140at7088	Gelsolin-like domain
145at7088	Complete	Hmel204001o	6132199	6154061	+	3282.4	1626	https://v10-1.orthodb.org/?query=145at7088	Sodium channel protein
148at7088	Complete	Hmel205001o	3261648	3281801	+	3008.0	1597	https://v10-1.orthodb.org/?query=148at7088	PDZ domain
155at7088	Complete	Hmel203003o	9430800	9416753	-	4007.6	2401	https://v10-1.orthodb.org/?query=155at7088	Adenomatous polyposis coli protein repeat
158at7088	Complete	Hmel214004o	2367184	2391461	+	2397.2	1193	https://v10-1.orthodb.org/?query=158at7088	Sodium channel protein
159at7088	Complete	Hmel208001o	5419484	5441196	+	3259.9	1846	https://v10-1.orthodb.org/?query=159at7088	FYVE zinc finger
160at7088	Complete	Hmel213001o	5070538	5049177	-	2816.9	1352	https://v10-1.orthodb.org/?query=160at7088	Pleckstrin homology domain
163at7088	Complete	Hmel217001o	7425399	7439095	+	2947.5	1547	https://v10-1.orthodb.org/?query=163at7088	Low-density lipoprotein (LDL) receptor class A repeat
173at7088	Complete	Hmel202001o	5907631	5928911	+	2803.4	1340	https://v10-1.orthodb.org/?query=173at7088	Clathrin, heavy chain, linker, core motif
177at7088	Complete	Hmel215003o	6474811	6446744	-	3665.8	1904	https://v10-1.orthodb.org/?query=177at7088	Ion transport domain
179at7088	Complete	Hmel219001o	13272166	13300197	+	2869.1	1481	https://v10-1.orthodb.org/?query=179at7088	Ankyrin repeat
183at7088	Complete	Hmel219001o	12477741	12441743	-	3578.7	1929	https://v10-1.orthodb.org/?query=183at7088	Ankyrin repeat
184at7088	Complete	Hmel203003o	331326	353232	+	3165.0	1754	https://v10-1.orthodb.org/?query=184at7088	Cadherin-like
186at7088	Complete	Hmel220003o	5427220	5442517	+	3786.1	2024	https://v10-1.orthodb.org/?query=186at7088	Zinc finger, PHD-finger
190at7088	Complete	Hmel218003o	10068502	10046644	-	2830.1	1368	https://v10-1.orthodb.org/?query=190at7088	WD40 repeat
193at7088	Complete	Hmel207001o	13765445	13770892	+	3354.7	1517	https://v10-1.orthodb.org/?query=193at7088	Sec7, C-terminal
196at7088	Complete	Hmel219001o	10203324	10220868	+	2821.4	1554	https://v10-1.orthodb.org/?query=196at7088	Cadherin-like
200at7088	Complete	Hmel209001o	541980	507274	-	3234.1	1922	https://v10-1.orthodb.org/?query=200at7088	protein unc-79 homolog
201at7088	Complete	Hmel206001o	2149258	2129049	-	3091.7	1624	https://v10-1.orthodb.org/?query=201at7088	Thioredoxin domain
204at7088	Complete	Hmel210001o	10446155	10453379	+	2497.5	1462	https://v10-1.orthodb.org/?query=204at7088	Zinc finger C2H2-type
206at7088	Complete	Hmel211001o	6632604	6813443	+	3619.0	2014	https://v10-1.orthodb.org/?query=206at7088	Calponin homology domain
207at7088	Complete	Hmel215003o	1994696	1980098	-	3069.0	1687	https://v10-1.orthodb.org/?query=207at7088	WD40 repeat
208at7088	Complete	Hmel210001o	11356637	11371783	+	2541.0	1382	https://v10-1.orthodb.org/?query=208at7088	Ras GTPase-activating domain
210at7088	Complete	Hmel210001o	11765778	11758197	-	3725.2	1845	https://v10-1.orthodb.org/?query=210at7088	RNA polymerase Rpb1, domain 5
211at7088	Complete	Hmel220003o	4102223	4113243	+	3051.0	1673	https://v10-1.orthodb.org/?query=211at7088	Spatacsin, C-terminal domain
212at7088	Complete	Hmel221001o	1434783	1417782	-	2570.4	1408	https://v10-1.orthodb.org/?query=212at7088	Laminin EGF domain
215at7088	Complete	Hmel205001o	6961623	6974853	+	3470.9	1719	https://v10-1.orthodb.org/?query=215at7088	Sec7, C-terminal
220at7088	Complete	Hmel212001o	12606156	12624405	+	2741.6	1295	https://v10-1.orthodb.org/?query=220at7088	Ferric reductase, NAD binding domain
231at7088	Complete	Hmel209001o	4334200	4353456	+	3873.0	2332	https://v10-1.orthodb.org/?query=231at7088	Pleckstrin homology domain
232at7088	Complete	Hmel220003o	5157430	5137289	-	3093.8	1587	https://v10-1.orthodb.org/?query=232at7088	Sister chromatid cohesion C-terminal domain
235at7088	Complete	Hmel201001o	14924920	14917718	-	3167.7	1815	https://v10-1.orthodb.org/?query=235at7088	BP28, C-terminal domain
236at7088	Complete	Hmel210001o	14980402	14994048	+	2536.4	1507	https://v10-1.orthodb.org/?query=236at7088	Nucleoporin Nup188
242at7088	Complete	Hmel213001o	7512359	7533284	+	2968.2	1652	https://v10-1.orthodb.org/?query=242at7088	Proteasome component Ecm29
246at7088	Complete	Hmel214004o	6910981	6742550	-	1995.1	1028	https://v10-1.orthodb.org/?query=246at7088	TRPM, tetramerisation domain
248at7088	Complete	Hmel204001o	6014103	5989031	-	3348.3	1648	https://v10-1.orthodb.org/?query=248at7088	Ras-associating (RA) domain
250at7088	Complete	Hmel209001o	5423245	5476606	+	2611.6	1224	https://v10-1.orthodb.org/?query=250at7088	Cadherin, cytoplasmic domain
251at7088	Complete	Hmel211001o	4391368	4378687	-	3190.3	2112	https://v10-1.orthodb.org/?query=251at7088	Ran binding domain
254at7088	Duplicated	Hmel200283o	7954	863	-	3055.7	1413	https://v10-1.orthodb.org/?query=254at7088	Helicase/UvrB, N-terminal
254at7088	Duplicated	Hmel220003o	8483049	8467656	-	3121.2	1637	https://v10-1.orthodb.org/?query=254at7088	Helicase/UvrB, N-terminal
258at7088	Complete	Hmel220003o	11531295	11506143	-	3433.8	1832	https://v10-1.orthodb.org/?query=258at7088	uncharacterized protein LOC106107457
259at7088	Complete	Hmel218003o	12353032	12327012	-	2609.0	1340	https://v10-1.orthodb.org/?query=259at7088	uncharacterized protein LOC106138037
263at7088	Complete	Hmel219001o	3684801	3704900	+	2737.4	1423	https://v10-1.orthodb.org/?query=263at7088	High mobility group box domain
266at7088	Complete	Hmel221001o	7426517	7463617	+	2923.6	1388	https://v10-1.orthodb.org/?query=266at7088	AMP-dependent synthetase/ligase
270at7088	Complete	Hmel221001o	7700239	7688105	-	3655.9	2278	https://v10-1.orthodb.org/?query=270at7088	Zinc finger, PHD-finger
271at7088	Complete	Hmel207001o	7567219	7588175	+	2757.5	1437	https://v10-1.orthodb.org/?query=271at7088	Protein FAM135
273at7088	Complete	Hmel203003o	9210465	9191646	-	1861.6	1275	https://v10-1.orthodb.org/?query=273at7088	Cadherin-like
274at7088	Complete	Hmel212001o	8447183	8452298	+	2792.5	1449	https://v10-1.orthodb.org/?query=274at7088	RNA polymerase Rpb1, domain 3
278at7088	Complete	Hmel201001o	10519981	10514138	-	2383.6	1501	https://v10-1.orthodb.org/?query=278at7088	uncharacterized protein LOC106099798
281at7088	Complete	Hmel220003o	7426219	7434850	+	2418.3	1375	https://v10-1.orthodb.org/?query=281at7088	Zinc finger C2H2-type
288at7088	Complete	Hmel201001o	2324635	2349618	+	3045.0	1930	https://v10-1.orthodb.org/?query=288at7088	Dbl homology (DH) domain
296at7088	Complete	Hmel221001o	3498923	3489960	-	2065.3	1411	https://v10-1.orthodb.org/?query=296at7088	Sperm-associated antigen 17
302at7088	Complete	Hmel218003o	11199156	11242995	+	2242.6	1138	https://v10-1.orthodb.org/?query=302at7088	Calcium-dependent secretion activator domain
303at7088	Complete	Hmel201001o	11360346	11380051	+	3244.5	2345	https://v10-1.orthodb.org/?query=303at7088	Phosphatidylinositol 3-/4-kinase, catalytic domain
307at7088	Complete	Hmel203003o	3478790	3461029	-	2593.3	1408	https://v10-1.orthodb.org/?query=307at7088	Cadherin-like
311at7088	Complete	Hmel216002o	6348331	6361231	+	2347.7	1415	https://v10-1.orthodb.org/?query=311at7088	Gamma tubulin complex component, C-terminal
315at7088	Complete	Hmel218003o	849674	841199	-	2694.7	1351	https://v10-1.orthodb.org/?query=315at7088	Leucine-rich repeat
316at7088	Complete	Hmel217001o	7352986	7340769	-	3353.5	2613	https://v10-1.orthodb.org/?query=316at7088	protein lava lamp-like
318at7088	Complete	Hmel219001o	9971040	9954532	-	2997.4	1574	https://v10-1.orthodb.org/?query=318at7088	Cadherin-like
321at7088	Complete	Hmel221001o	7211981	7202417	-	2024.9	1363	https://v10-1.orthodb.org/?query=321at7088	uncharacterized protein LOC101746166
322at7088	Complete	Hmel203003o	9128887	9119101	-	1622.0	1084	https://v10-1.orthodb.org/?query=322at7088	Zinc finger C2H2-type
324at7088	Complete	Hmel210001o	12528877	12519107	-	2428.5	1178	https://v10-1.orthodb.org/?query=324at7088	Protein kinase domain
325at7088	Complete	Hmel207001o	4749920	4759150	+	2558.7	1427	https://v10-1.orthodb.org/?query=325at7088	Virilizer, N-terminal
326at7088	Complete	Hmel201001o	15544661	15554491	+	2609.5	1366	https://v10-1.orthodb.org/?query=326at7088	HEAT repeat
327at7088	Complete	Hmel215003o	1627253	1673016	+	2453.6	1875	https://v10-1.orthodb.org/?query=327at7088	Serine-threonine/tyrosine-protein kinase, catalytic domain
328at7088	Complete	Hmel205001o	449353	456520	+	2734.8	1649	https://v10-1.orthodb.org/?query=328at7088	Nucleolar pre-ribosomal-associated protein 1, C-terminal domain
332at7088	Complete	Hmel210001o	11186090	11171962	-	2754.7	1471	https://v10-1.orthodb.org/?query=332at7088	Helicase/UvrB, N-terminal
335at7088	Complete	Hmel220003o	10996160	10982533	-	2088.1	1174	https://v10-1.orthodb.org/?query=335at7088	PTP type protein phosphatase
338at7088	Complete	Hmel200260o	375	16572	+	2531.0	1232	https://v10-1.orthodb.org/?query=338at7088	Bromodomain
340at7088	Complete	Hmel216002o	9450790	9464047	+	2732.2	1686	https://v10-1.orthodb.org/?query=340at7088	LOC101738347
342at7088	Complete	Hmel213001o	8750571	8763442	+	2804.6	1684	https://v10-1.orthodb.org/?query=342at7088	Zinc finger, PHD-finger
345at7088	Complete	Hmel210001o	1940027	1924169	-	2338.2	1380	https://v10-1.orthodb.org/?query=345at7088	Active zone protein ELKS
350at7088	Complete	Hmel220003o	5112913	5107366	-	2201.1	1113	https://v10-1.orthodb.org/?query=350at7088	Beta-propeller repeat TECPR
353at7088	Complete	Hmel218003o	14353397	14329642	-	2537.0	1289	https://v10-1.orthodb.org/?query=353at7088	Rho GTPase-activating protein domain
354at7088	Complete	Hmel218003o	6082083	6067701	-	1821.1	869	https://v10-1.orthodb.org/?query=354at7088	Leucine-rich repeat
355at7088	Complete	Hmel218003o	1361448	1345070	-	2160.0	1058	https://v10-1.orthodb.org/?query=355at7088	Ankyrin repeat
356at7088	Complete	Hmel203003o	6014792	6002980	-	2521.4	1397	https://v10-1.orthodb.org/?query=356at7088	uncharacterized protein LOC111355965
357at7088	Complete	Hmel219001o	183983	213668	+	2183.2	1252	https://v10-1.orthodb.org/?query=357at7088	Superoxide dismutase, copper/zinc binding domain
360at7088	Complete	Hmel221001o	7947180	7920027	-	2191.6	1083	https://v10-1.orthodb.org/?query=360at7088	Potassium channel domain
363at7088	Complete	Hmel209001o	7812349	7806533	-	2403.3	1737	https://v10-1.orthodb.org/?query=363at7088	Tetratricopeptide repeat
366at7088	Complete	Hmel207001o	8987814	8997528	+	3138.6	1738	https://v10-1.orthodb.org/?query=366at7088	Nucleoprotein TPR/MLP1
367at7088	Complete	Hmel206001o	5976733	5962878	-	2269.1	1295	https://v10-1.orthodb.org/?query=367at7088	C2 domain
375at7088	Complete	Hmel218003o	6815417	6830302	+	1887.9	1255	https://v10-1.orthodb.org/?query=375at7088	CARD domain
380at7088	Complete	Hmel212001o	14288066	14308071	+	2203.3	1184	https://v10-1.orthodb.org/?query=380at7088	ATPase, dynein-related, AAA domain
382at7088	Complete	Hmel205001o	839750	854919	+	1893.9	1180	https://v10-1.orthodb.org/?query=382at7088	Histone acetyltransferase domain, MYST-type
383at7088	Complete	Hmel220003o	5095270	5105401	+	2510.0	1140	https://v10-1.orthodb.org/?query=383at7088	Splicing factor 3B subunit 1
384at7088	Complete	Hmel210001o	13248332	13242247	-	2261.7	1477	https://v10-1.orthodb.org/?query=384at7088	RZZ complex, subunit KNTC1/ROD, C-terminal
385at7088	Complete	Hmel208001o	4670287	4654276	-	3022.9	1676	https://v10-1.orthodb.org/?query=385at7088	Proteasome activator Blm10, mid region
386at7088	Complete	Hmel207001o	10742585	10751497	+	2393.1	1107	https://v10-1.orthodb.org/?query=386at7088	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
389at7088	Complete	Hmel221001o	11750589	11772636	+	2269.1	1131	https://v10-1.orthodb.org/?query=389at7088	Mediator complex, subunit Med23
391at7088	Complete	Hmel221001o	5191044	5207530	+	2189.9	1119	https://v10-1.orthodb.org/?query=391at7088	Sterol-sensing domain
392at7088	Complete	Hmel211001o	4451880	4426094	-	2265.1	1277	https://v10-1.orthodb.org/?query=392at7088	UDP-glucose:Glycoprotein Glucosyltransferase
393at7088	Complete	Hmel204001o	3596198	3622211	+	2515.9	1339	https://v10-1.orthodb.org/?query=393at7088	dDENN domain
394at7088	Complete	Hmel203003o	5457317	5483029	+	2911.4	1502	https://v10-1.orthodb.org/?query=394at7088	RUN domain
396at7088	Complete	Hmel219001o	12532035	12524724	-	1943.4	1129	https://v10-1.orthodb.org/?query=396at7088	Rab3-GAP regulatory subunit, N-terminal
401at7088	Complete	Hmel219001o	9873562	9852617	-	2252.6	1042	https://v10-1.orthodb.org/?query=401at7088	Protein kinase domain
408at7088	Complete	Hmel201001o	13377947	13385055	+	2399.0	1371	https://v10-1.orthodb.org/?query=408at7088	Zinc finger C2H2-type
412at7088	Complete	Hmel220003o	1144753	1095793	-	2549.1	1453	https://v10-1.orthodb.org/?query=412at7088	Pleckstrin homology domain
417at7088	Complete	Hmel208001o	4684639	4671424	-	1836.1	1015	https://v10-1.orthodb.org/?query=417at7088	Helicase, C-terminal
420at7088	Complete	Hmel209001o	2452628	2388137	-	2143.4	1194	https://v10-1.orthodb.org/?query=420at7088	Dbl homology (DH) domain
427at7088	Complete	Hmel220003o	11780193	11803939	+	2237.0	1427	https://v10-1.orthodb.org/?query=427at7088	Ankyrin repeat
429at7088	Complete	Hmel218003o	506085	485471	-	2483.6	1324	https://v10-1.orthodb.org/?query=429at7088	WW domain
430at7088	Complete	Hmel203003o	7851387	7843317	-	2180.4	1124	https://v10-1.orthodb.org/?query=430at7088	Leucine-rich repeat
434at7088	Complete	Hmel211001o	3033240	3025509	-	2345.7	1201	https://v10-1.orthodb.org/?query=434at7088	DNA-directed DNA polymerase, family B, exonuclease domain
437at7088	Complete	Hmel212001o	2544679	2524656	-	1978.3	992	https://v10-1.orthodb.org/?query=437at7088	sister chromatid cohesion protein PDS5 homolog B
443at7088	Complete	Hmel219001o	11201099	11195889	-	2208.7	1103	https://v10-1.orthodb.org/?query=443at7088	Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead
445at7088	Complete	Hmel206001o	5296817	5285609	-	2442.6	1436	https://v10-1.orthodb.org/?query=445at7088	Protein kinase domain
450at7088	Complete	Hmel211001o	1793415	1800049	+	2242.2	1311	https://v10-1.orthodb.org/?query=450at7088	Zinc finger C2H2-type
455at7088	Complete	Hmel201001o	8783528	8787055	+	2697.6	1119	https://v10-1.orthodb.org/?query=455at7088	RNA polymerase Rpb2, domain 2
456at7088	Complete	Hmel218003o	6354165	6358187	+	2381.9	1196	https://v10-1.orthodb.org/?query=456at7088	Leucine-rich repeat
458at7088	Complete	Hmel202001o	2474282	2529767	+	2415.4	1425	https://v10-1.orthodb.org/?query=458at7088	Ion transport domain
461at7088	Complete	Hmel220003o	2635630	2615719	-	2188.6	1146	https://v10-1.orthodb.org/?query=461at7088	Histidine phosphatase superfamily, clade-2
464at7088	Complete	Hmel206001o	7259097	7251655	-	2090.6	1273	https://v10-1.orthodb.org/?query=464at7088	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
467at7088	Complete	Hmel212001o	7691992	7679650	-	1921.4	1045	https://v10-1.orthodb.org/?query=467at7088	PurM-like, C-terminal domain
468at7088	Complete	Hmel207001o	10031969	10040653	+	2636.8	1429	https://v10-1.orthodb.org/?query=468at7088	Dbl homology (DH) domain
478at7088	Complete	Hmel211001o	10191672	10230508	+	2299.2	1277	https://v10-1.orthodb.org/?query=478at7088	PDZ domain
479at7088	Complete	Hmel209001o	5025998	5031749	+	2384.9	1365	https://v10-1.orthodb.org/?query=479at7088	Adenylyl cyclase class-3/4/guanylyl cyclase
481at7088	Complete	Hmel213001o	4819786	4808595	-	1802.4	980	https://v10-1.orthodb.org/?query=481at7088	PurM-like, C-terminal domain
486at7088	Complete	Hmel207001o	6242866	6253392	+	1962.5	1050	https://v10-1.orthodb.org/?query=486at7088	DNA topoisomerase, type IIA, subunit A/C-terminal
488at7088	Complete	Hmel213001o	14837864	14816166	-	1743.3	1237	https://v10-1.orthodb.org/?query=488at7088	Ankyrin repeat
489at7088	Complete	Hmel202001o	7077908	7092560	+	2991.0	3371	https://v10-1.orthodb.org/?query=489at7088	Zinc finger C2H2 superfamily
490at7088	Complete	Hmel220003o	3222505	3212257	-	1689.7	1268	https://v10-1.orthodb.org/?query=490at7088	CLIP1, zinc knuckle
492at7088	Complete	Hmel205001o	4960728	4860015	-	1746.3	927	https://v10-1.orthodb.org/?query=492at7088	Rho GTPase-activating protein domain
494at7088	Complete	Hmel206001o	3229713	3198433	-	2682.1	1562	https://v10-1.orthodb.org/?query=494at7088	PWWP domain
495at7088	Complete	Hmel201001o	14202256	14195552	-	2312.4	1193	https://v10-1.orthodb.org/?query=495at7088	Protein kinase domain
496at7088	Complete	Hmel201001o	723987	871515	+	2039.8	1100	https://v10-1.orthodb.org/?query=496at7088	Immunoglobulin
498at7088	Complete	Hmel217001o	2718599	2706767	-	2055.5	1017	https://v10-1.orthodb.org/?query=498at7088	Aminoacyl-tRNA synthetase, class Ia
499at7088	Complete	Hmel220003o	4384704	4376932	-	2140.5	994	https://v10-1.orthodb.org/?query=499at7088	RNA polymerase Rpb2, domain 2
